Open,High,Low,Volume
4052.0,4090.719970703125,4033.929931640625,3846580000
4051.97998046875,4051.97998046875,3911.909912109375,4428960000
3899.0,3945.9599609375,3876.580078125,4212140000
3927.760009765625,3943.419921875,3810.320068359375,4278520000
3919.419921875,3981.8798828125,3909.0400390625,3392770000
3942.93994140625,3955.679931640625,3875.1298828125,3901640000
3929.590087890625,3999.330078125,3925.030029296875,4322190000
3984.60009765625,4075.139892578125,3984.60009765625,3961940000
4077.429931640625,4158.490234375,4077.429931640625,3560560000
4151.08984375,4168.33984375,4104.8798828125,5192220000
4149.77978515625,4166.5400390625,4073.85009765625,4145710000
4095.409912109375,4177.509765625,4074.3701171875,3604930000
4137.56982421875,4142.669921875,4098.669921875,3107080000
4134.72021484375,4168.77978515625,4109.18017578125,3852050000
